,data_mes,satelite,bioma,qtd
483,2016-04-01,NPP-375,Pantanal,194
484,2016-05-01,AQUA_M-T,Amazônia,895
485,2016-05-01,AQUA_M-T,Caatinga,80
486,2016-05-01,AQUA_M-T,Cerrado,1782
487,2016-05-01,AQUA_M-T,Mata Atlântica,437
488,2016-05-01,AQUA_M-T,Pampa,34
489,2016-05-01,AQUA_M-T,Pantanal,59
490,2016-05-01,NPP-375,Amazônia,5167
491,2016-05-01,NPP-375,Caatinga,1134
492,2016-05-01,NPP-375,Cerrado,10430
493,2016-05-01,NPP-375,Mata Atlântica,3031
494,2016-05-01,NPP-375,Pampa,118
495,2016-05-01,NPP-375,Pantanal,230
496,2016-06-01,AQUA_M-T,Amazônia,1663
497,2016-06-01,AQUA_M-T,Caatinga,158
498,2016-06-01,AQUA_M-T,Cerrado,3187
499,2016-06-01,AQUA_M-T,Mata Atlântica,901
500,2016-06-01,AQUA_M-T,Pampa,183
501,2016-06-01,AQUA_M-T,Pantanal,93
502,2016-06-01,NPP-375,Amazônia,11606
503,2016-06-01,NPP-375,Caatinga,1541
504,2016-06-01,NPP-375,Cerrado,18813
505,2016-06-01,NPP-375,Mata Atlântica,4870
506,2016-06-01,NPP-375,Pampa,636
507,2016-06-01,NPP-375,Pantanal,498
508,2016-07-01,AQUA_M-T,Amazônia,6120
509,2016-07-01,AQUA_M-T,Caatinga,551
510,2016-07-01,AQUA_M-T,Cerrado,8675
511,2016-07-01,AQUA_M-T,Mata Atlântica,3155
512,2016-07-01,AQUA_M-T,Pampa,199
513,2016-07-01,AQUA_M-T,Pantanal,542
514,2016-07-01,NPP-375,Amazônia,37708
515,2016-07-01,NPP-375,Caatinga,4841
516,2016-07-01,NPP-375,Cerrado,56443
517,2016-07-01,NPP-375,Mata Atlântica,14861
518,2016-07-01,NPP-375,Pampa,837
519,2016-07-01,NPP-375,Pantanal,3009
520,2016-08-01,AQUA_M-T,Amazônia,18340
521,2016-08-01,AQUA_M-T,Caatinga,1504
522,2016-08-01,AQUA_M-T,Cerrado,13730
523,2016-08-01,AQUA_M-T,Mata Atlântica,4165
524,2016-08-01,AQUA_M-T,Pampa,383
525,2016-08-01,AQUA_M-T,Pantanal,966
526,2016-08-01,NPP-375,Amazônia,127889
527,2016-08-01,NPP-375,Caatinga,12082
528,2016-08-01,NPP-375,Cerrado,109118
529,2016-08-01,NPP-375,Mata Atlântica,19898
530,2016-08-01,NPP-375,Pampa,1896
531,2016-08-01,NPP-375,Pantanal,5503
532,2016-08-01,NPP-375,,3
533,2016-09-01,AQUA_M-T,Amazônia,20460
534,2016-09-01,AQUA_M-T,Caatinga,2095
535,2016-09-01,AQUA_M-T,Cerrado,13256
536,2016-09-01,AQUA_M-T,Mata Atlântica,4146
537,2016-09-01,AQUA_M-T,Pampa,252
538,2016-09-01,AQUA_M-T,Pantanal,2000
539,2016-09-01,NPP-375,Amazônia,131268
540,2016-09-01,NPP-375,Caatinga,14592
541,2016-09-01,NPP-375,Cerrado,127888
542,2016-09-01,NPP-375,Mata Atlântica,21785
543,2016-09-01,NPP-375,Pampa,1192
544,2016-09-01,NPP-375,Pantanal,14545
545,2016-10-01,AQUA_M-T,Amazônia,14234
546,2016-10-01,AQUA_M-T,Caatinga,4274
547,2016-10-01,AQUA_M-T,Cerrado,9968
